SupplierID,Name,Address,City,Country
S001,China's Best,1   Republic Avenue,Bejing,China
S002,Food from Da Yard,Ruthven Road 23,Kingston,Jamaica
S003,La Bella Italia,Via Casilana 235,Rome,Italy
S004,Dried But Good,7 Peachtree Avenue,Atlanta,USA
S005,Fresh as Can Be,12 Seminole Boulevard,Largo,USA
S006,Scottish Delights,12 Princes Street,Edinburgh,United Kingdom
S007,English Delicatessen,23 Trafalgar Square,London,United Kingdom
S008,Fish R Us,67 Imperial Road,Tokyo,Japan
S009,Top Class Groceries and More,683 MLK Drive,Montgomery,USA
S010,Sunrise Bakery,Old Hope Road,Montego Bay,Jamaica
S011,Authentic Japanese Products,High Road,Osaka,Japan
S012,China Exports,Ring Road 5,Shanghai,China
S013,Le Boulangier,Rue Bobillot,Paris,France
S014,Liming Co,Ariapita Avenue,Port of Spain,Trinidad
S015,Mr Patel's,Bazar Wad Rd,Hyderabad,India
S016,Fromage pour Tous,Rue de Montauban,Lyon,France
S017,Best Indian Foods,Nehru Road,Mumbai,India
S018,Brenda's Roti Shop,Demerara Blvd 7,Arima,Trinidad
